ID,TARGET_HOST_ID,SOURCE_HOST_ID,est_duration
15e14159-e5de-4deb-8cca-1e8fb31739eb,node-186_1,node-33,2
a37f8a31-4b69-4b95-a4f9-71417281d493,node-92_6,node-54,2
48bb2a42-b34f-4082-9d70-470e5d4cd2fa,node-48_6,node-64,1
ecb9c90a-c8b6-4143-877b-b07aaea23420,node-189_6,node-22,3
74970cd8-726b-412f-8ab3-0053ff6a8066,node-62_4,node-71,4
04b6cd77-5f1f-482a-ace9-724f1444af5d,node-98_5,node-57,2
2c5053f1-8d29-437d-9c02-feeb5fb4ecd0,node-186_5,node-44,2
a91c1e49-8ad2-43bc-9420-b17c1a2e2221,node-92_3,node-67,3
08922bbb-213f-47ab-96d8-6390d597cca2,node-73_3,node-21,1
2e1f1a49-e4d9-465b-9d7c-57738dac95cd,node-71_1,node-32,1
96a61fdd-e456-477b-a2e9-d390c0a6ed94,node-74_4,node-23,1
0815c671-130b-47ad-8a08-9b5330ad14cb,node-70_6,node-42,1
2faa9eb4-8cb7-4c69-b5d3-3a2981d9c58c,node-185_4,node-51,1
318d5f0a-9e4b-4ea4-ada3-4ece5e69a147,node-60_3,node-55,1
492241ca-cfbd-4423-9afc-acb26405d6cc,node-48_4,node-55,1
cce9b9da-a3a0-4c2f-a1b0-cda281cbf2c1,node-61_5,node-22,2
6b984211-5a13-4fe2-b5c9-a7daa9787ae0,node-188_4,node-51,1
d94e300b-28f7-41a4-9d98-7b12b2f54b4f,node-73_3,node-30,3
e1254509-2811-4701-a30a-02f48f8f0757,node-100_6,node-91,1
4d23529e-b370-4fe5-a66e-e9c85e818804,node-72_3,node-18,1
a614dd43-9496-41f1-bc25-0a197d508d44,node-77_3,node-41,1
8890155a-0b16-47ad-ba2f-6c892196330a,node-77_5,node-28,6
60982ec4-7bae-4fde-9bfb-76aa1e61322c,node-100_5,node-45,1
a4c7b5ca-4a2c-42ec-8494-b7c310133248,node-48_2,node-23,2
7db371a5-fe99-407c-9f19-cd808c90952d,node-70_5,node-19,1
5f8ea10e-4380-480b-aee0-718f5e19ac58,node-185_1,node-21,1
ef522a17-a35e-4e01-84ce-911446c357af,node-47_3,node-19,1
51a5e1d9-7dfc-4df3-8a32-91f813608794,node-187_1,node-75,4
b8e36207-1e7d-46aa-8513-093ebb998480,node-48_1,node-22,2
50878bec-56d0-42df-b1a9-eb972a7e0ccb,node-187_3,node-50,1
278e6c51-df85-4254-b87b-d0706ec560bc,node-80_3,node-33,3
c9357582-966e-4410-8052-ac78220a04d8,node-62_4,node-50,1
1d02ffd2-c616-4f21-9b16-f2a4103e9d71,node-88_6,node-53,3
082db76e-ccd2-4420-8cf7-90b3edd60edd,node-76_5,node-86,1
77a7a020-2ac0-403d-bd51-2b07cfb4af69,node-65_1,node-42,1
b55eed11-872d-45ae-9061-52b527bf0e28,node-69_1,node-52,4
b632f419-1f8d-48ec-8792-b5558c581e27,node-61_1,node-53,1
fd9a2f02-19bd-416d-a037-ae352c36474a,node-100_4,node-42,1
180b7a0a-12d0-41f7-849d-9277a652122d,node-187_4,node-36,2
68bdcf65-ba02-4ee8-851b-4b1670c530df,node-100_3,node-67,4
ad7b13a7-e17b-46fd-bdd4-c9ae54756684,node-188_4,node-36,2
46236989-87c1-4dd3-8e3b-09c3fc46da3a,node-88_4,node-30,2
8934b459-6a41-494f-9523-63ba82e5b71a,node-47_6,node-17,1
adf42a27-a100-4095-bbc5-09f0dd30a267,node-70_4,node-15,3
449aecd0-1b54-4293-a595-1f4f39e82d31,node-69_6,node-45,1
10574ce5-af43-4b75-94bb-45df59a85cb7,node-80_5,node-21,3
e0885243-2b0f-4608-9c38-f84a87a3905a,node-189_6,node-67,2
385e4367-0545-4530-b048-5233d3cd023d,node-185_5,node-15,1
32bb4a10-ac2c-46ed-b56a-d12ba3943fb5,node-100_5,node-75,1
2425dcce-1220-4aea-b89d-15394befef7a,node-76_5,node-52,1
ee7c35bf-bbb1-43fa-acb9-2d491e35aa75,node-90_4,node-39,2
277df5f4-7289-4594-a096-8a884d033924,node-91_4,node-42,2
521ca6fd-a301-470d-a362-12d7de11d229,node-59_1,node-23,1
39610d2b-7f14-4e23-9372-57455359c8a5,node-73_3,node-45,1
e63672a1-b83b-4cbf-afe5-39dc0d2960ca,node-47_2,node-52,1
2605d2a2-2530-4f15-a50c-4e99fbb9ecab,node-187_2,node-61,2
18568501-6135-4269-b4ed-12b0874a0f3d,node-189_5,node-57,1
1361687e-21ff-41a5-81a6-da2137361fcc,node-61_2,node-30,2
106157a9-5481-487b-85b1-dc76b1c29946,node-65_2,node-45,2
b8e0899a-e697-4554-ac26-ff1d10aad457,node-65_5,node-53,2
706c0cb9-764b-4939-a0a2-020852d382ed,node-80_2,node-45,2
704ec175-d8b9-4c66-90b1-523c9d42cdfc,node-61_5,node-14,1
09070ecf-8f11-4e2a-8b36-d5a03512879a,node-94_4,node-50,2
3be9a0c0-6da2-4c61-8170-6bf53ccd071c,node-186_5,node-39,2
78e807a9-12a6-4bc1-a5e2-f2426e05c008,node-186_5,node-53,1
ddd9f42f-5f1f-4eb0-88b7-65ad9b920f1c,node-92_1,node-45,3
6859746d-74c5-4509-96bb-1bcfad45c1cf,node-73_3,node-44,3
f3d1972f-ef4c-4500-a04f-e29ae6ed5176,node-73_6,node-39,3
372d7468-5272-4710-8727-7b3c8868a6e1,node-95_2,node-21,2
93cf3087-02b4-47d5-9f2c-2245e7a24273,node-91_5,node-21,2
17de60ac-07f2-4512-b9e0-04b863b216de,node-77_2,node-21,3
b3217927-c8c3-494f-8bf9-e90f5f72dd66,node-49_1,node-24,3
f90c0b4a-6f93-49a7-a9cc-168ca2c2ae8c,node-100_1,node-23,4
26c70c2b-21d8-44fa-b4cd-a45dc3455af8,node-69_4,node-50,2
4c50493f-15d5-4db4-ac5f-5bb5caf7330a,node-95_4,node-22,3
cfc4a4ae-2b9b-447b-a422-148f2dd62f4c,node-91_2,node-46,3
74c7dcfc-c052-493b-8c84-85227f499059,node-70_3,node-71,2
20fd1662-cc10-4c21-b764-a94814de3539,node-48_4,node-55,1
6cf153d8-45b0-43a1-95d8-894f41a2cbf9,node-80_1,node-33,2
4cc75b71-1632-4d20-b0bd-8dc573c1321f,node-69_1,node-50,1
d9f0ea70-9f46-4a77-afdd-93a137f43be8,node-62_3,node-99,4
2900019b-e2a0-4db4-ae4d-3febcc47802e,node-61_2,node-39,2
1a46d998-54bc-4b5b-a55c-4ebe8ce8a231,node-80_2,node-90,2
14afe4e5-9526-4eeb-8d3b-961224a85a49,node-73_1,node-42,2
64a0d653-f0ff-4b80-b226-4a3476ca1cbd,node-186_3,node-86,2
c631464a-f495-49eb-87f9-ec3c32a07ad8,node-68_2,node-33,1
96eafc5e-a78a-4956-b449-cb682dcaa68f,node-71_2,node-43,2
833c78b3-baa7-4275-a281-58dd4e067506,node-74_2,node-53,2
f6a46005-819c-429e-a719-4fa72a694093,node-88_2,node-13,4
54507910-7d88-441e-b119-b57f2a029772,node-94_5,node-39,2
4044add8-1815-491d-9e93-b2c415c32de6,node-48_1,node-59,1
b7298ff5-234e-4fcf-9bb9-b11b9f21628a,node-80_1,node-54,2
cc30da84-9815-4a7e-b84f-7001fbfd20a3,node-59_6,node-45,2
fe91657d-8c1e-422d-814f-c67a991b2af9,node-184_5,node-51,2
1b7ab0a0-f810-48fa-af1f-11f0c993e800,node-88_6,node-52,2
ac09ef31-6f0d-49b8-932f-4dad86d22e8c,node-95_3,node-34,3
d054f04d-9bea-4d2e-abea-5f4bc552405f,node-70_1,node-52,1
d86e65be-761e-46c0-8276-a09d801a9cd7,node-65_2,node-60,1
d34de948-edf9-4eb7-a60b-c7dd2ecda412,node-48_6,node-24,1
c4ac63a2-2284-4a60-8d86-b4cedd2376ee,node-185_1,node-53,1
376394bd-eefb-493e-a2d9-8333fa2dac67,node-185_4,node-57,2
74e52669-ff2a-4979-ac4d-cccb4546e3a1,node-72_1,node-55,2
3523d641-b8ae-4d34-b196-5ccf89aa77f7,node-65_2,node-32,1
ce61bbea-ffe4-4dbb-ba57-695247db989c,node-48_1,node-66,2
90bad146-fcd2-477c-b224-232fcbcc8dfa,node-98_5,node-39,1
76a0a766-7c9f-464e-bb95-c85752329349,node-47_6,node-34,2
88a292b0-29c1-4ed6-8aab-7eeb82c10214,node-187_1,node-33,2
395c3d4e-a45a-432b-b5fa-af914674423b,node-88_6,node-21,2
e7d2545f-166a-41d6-9bed-881476daf5d6,node-93_2,node-22,1
a8391d52-7921-4452-bf41-e82d3904efc4,node-59_1,node-28,3
68b2d188-07b3-4d14-b223-3322b7af837a,node-62_3,node-67,3
d7d7c4d8-f439-4070-bf16-08f239db1572,node-188_4,node-28,4
0582b350-dc67-4170-931f-fbabd5051ec9,node-69_6,node-66,2
e50b764a-a9fc-4a3a-820c-5ba7be22040d,node-189_3,node-21,1
f272267a-481f-4b36-8c71-75734e775ae3,node-88_3,node-39,1
68d3f7ec-a508-4a41-8b49-8976bc02e1c7,node-69_5,node-30,2
85ad0df5-972e-4a8b-8325-6743a4cd359e,node-48_4,node-57,3
abe4e7b5-7e74-453b-93e9-53f53c1f07ac,node-96_2,node-33,7
44757a00-7eec-4a2d-a5fb-d80121db7330,node-187_4,node-29,2
b45850c1-9e09-4e4d-b265-39405819f190,node-88_4,node-68,1
61ce78a0-fe53-4d0a-97ce-307f24ffc6d9,node-95_2,node-57,3
b352cd6b-fe0d-40f7-8e5e-a5098fac49df,node-189_1,node-53,4
b760067d-c625-4051-b921-137875b37273,node-189_6,node-51,4
82b7310b-5b69-4311-9fa2-454133e6f9ce,node-69_4,node-58,3
b43d1d17-8488-4228-9253-b65c6a46da8e,node-61_5,node-53,2
e7f50e99-9c8b-4251-8274-7e147cce90d0,node-187_2,node-46,1
360a455e-72b1-4b9b-a251-1777d6b7b41d,node-74_4,node-67,2
82f4076a-ec46-4992-aa9a-51c5fc842aee,node-50_1,node-56,1
1765ecd3-bd12-43a2-8393-6ee7e26347a2,node-188_4,node-44,3
16d32776-322f-4b1d-ab9e-b67e5e01533e,node-98_1,node-33,1
1e4b0e02-c4a9-4a1d-93f2-fb4c51a1ea6b,node-187_3,node-53,2
bac24806-716d-4e57-9d8c-deaac8807d22,node-71_6,node-56,1
1ff07650-43ba-4620-abe1-2c4b134c2f12,node-62_2,node-39,2
2f679f6e-6425-4a18-8d91-cb005d1264ac,node-80_2,node-57,6
e9ca25f8-08a0-48b1-b89f-aac76a137917,node-97_3,node-19,7
09e0117a-1ed9-4948-a263-fedc064d9e29,node-69_3,node-90,2
4e53918c-bed1-44db-ae8f-10cbe488a73b,node-92_1,node-85,1
6497dce3-c8d4-4a80-bdfb-4b5ff1efc74b,node-94_5,node-36,1
48f9947e-c53c-4521-a816-27ca5f4806db,node-88_1,node-28,5
f0612c74-6bdf-4219-8289-4a44b2fa1d20,node-71_6,node-15,2
19788058-c320-4e86-afc0-e7733e553a50,node-74_2,node-13,2
346211b3-4282-44a6-817f-d4c1dad901b9,node-88_5,node-23,3
13713a7d-132f-425b-8329-29cfb99d1137,node-189_1,node-61,3
0449c04f-dd11-4f5f-a5d2-44ca65daec51,node-95_3,node-43,2
da148044-b338-4c84-89c8-ec094199c7aa,node-92_5,node-61,2
fe823488-fdf0-413a-9a50-f1fe43af46bb,node-76_6,node-62,1
7f938194-a1c2-4314-befe-010dd5f94f05,node-61_1,node-32,3
d4e74382-eec8-4f7f-8f99-ca460874e9ec,node-187_2,node-47,3
b39509c9-8781-4421-963d-28bcf0529f8a,node-72_2,node-67,3
2ed61af1-4f69-4cc9-9589-01864dd67ec6,node-80_1,node-52,3
65c72654-2494-49e0-93e5-5356eae7e208,node-93_6,node-52,3
6b064abb-ae7a-4da6-b870-73be76f2e1bd,node-80_5,node-99,3
2726dcb6-f1e4-4c41-8bf6-3d9107981a9c,node-79_3,node-23,1
5e41e52a-1b55-4ebd-b436-86cf9865bec9,node-187_3,node-13,1
5f52f015-be07-45b6-af65-bd7f34d0607e,node-98_2,node-44,2
b158d9f5-5f02-4702-aa5d-4eea6e119180,node-77_2,node-44,2
d8750adf-1fb9-45c4-b9e8-020c725a14cc,node-76_4,node-57,3
7a4c794d-648f-46e0-a07b-660ec57056f3,node-185_2,node-46,4
a4d3a47e-141e-485e-ab16-700f932be30e,node-65_1,node-18,4
d2cae9d0-2a66-4324-abf9-196baf2ca862,node-76_1,node-70,4
4c9536a3-59fe-4b4c-84e9-7c80784a2d65,node-96_3,node-100,3
9e240e37-7d7e-4ebb-b8d1-b28c483a39ea,node-73_5,node-71,4
ee1435f9-8667-4590-9f39-b9e67dd26037,node-187_6,node-46,3
66299796-0f7e-412b-bad0-49cf821734ce,node-62_5,node-87,4
907965f9-df00-4814-9801-f099b690954a,node-100_4,node-19,4
48921497-2ff0-47c9-a611-bacb03ee843c,node-184_5,node-27,3
5a52334a-c6a7-4849-a5ba-c32c7561b494,node-80_6,node-64,2
64864cac-f626-437c-85e2-8fdc19071ac7,node-186_1,node-54,1
4d5a6f1b-6baf-4fca-a88e-e1f095949bf9,node-65_2,node-90,4
1f732f21-e270-42f5-a7f4-eaa7d38b1252,node-76_5,node-52,1
25c0ed0d-595a-46a9-805e-b47813662b59,node-88_4,node-43,1
d5e8b0dc-8234-4f19-a506-c47ae282edd0,node-70_2,node-67,2
c7079947-fc30-4d9d-bc1c-b198e96f4f2b,node-185_3,node-21,2
3c738682-bd61-4a95-a4d0-cc7025c45bf6,node-187_5,node-68,2
93124c6b-f080-4023-89e6-7a0e6848a5e7,node-95_5,node-17,3
2b02d02f-dbf9-4725-9b8d-0186247832a8,node-73_4,node-19,3
4f618769-37e7-4e7d-a7c5-431cb77ba56d,node-72_6,node-58,3
8096710e-65b5-45eb-9577-0fe68081b57d,node-70_1,node-38,1
7ef03800-e44a-470d-acc0-2e1ee9ee3701,node-90_3,node-25,3
4436df05-2384-40cb-b078-53028851b010,node-77_1,node-56,1
51a247b9-f7df-44ae-997d-750b0c59b7d1,node-99_1,node-81,2
f789a041-8b80-4368-b4c7-bacba492616d,node-61_2,node-50,4
bdbe2ee6-f084-46c9-a2d6-bcb3e605a49d,node-186_2,node-21,1
cb731e6d-6ef6-454f-a98f-c1ef48308157,node-100_5,node-50,1
d3e5fb1e-fff3-4bec-a798-2645887bf4aa,node-77_4,node-64,1
acd939f5-5b3d-4930-ab48-6a8b79ebd4aa,node-77_3,node-18,1
2d725a19-b8d5-4f8c-87f6-714baee10475,node-95_5,node-39,4
bdccfe28-f714-4fb4-88e3-27cb59331a75,node-59_5,node-39,3
b2f4ec93-16e3-4152-ba09-ccc7c00b318c,node-100_5,node-44,1
c2d2353e-4fb6-4d2a-b4be-37793b27ff3e,node-188_4,node-52,5
1c0c7de0-55c8-4fd0-8218-22a3e29a980b,node-48_2,node-58,1
b23f8841-b483-48a5-b6b3-c71ef76dd568,node-185_2,node-34,1
1e572486-e559-4a13-95bc-4845bf153463,node-48_1,node-64,1
ac33bee9-c8b5-4c5b-88fa-260b2c2b9e3c,node-62_2,node-68,1
a27818de-0752-4021-97e7-5d276f1136a1,node-62_3,node-43,2
e0ab1b37-bb3f-4062-9ed4-f56fcc1af856,node-72_1,node-87,1
a0cad201-4a05-4dec-89af-96ba664eade3,node-94_4,node-53,1
745ce1f5-158e-43d6-b569-5aeb54409aca,node-48_1,node-18,1
264cbd2a-94b0-4274-90d3-b0a5bce0c9b2,node-48,node-80,3
6e18b3fb-e322-4aae-b323-e7dfdb8a55a8,node-69_1,node-61,2
6551d672-b082-4c55-9e90-7a720aa69c22,node-69_3,node-39,1
f7b24515-43e0-4063-bafd-46e3e677a00f,node-187_6,node-19,2
8fd5b190-4964-4303-b9fc-458a91a2af0a,node-185_3,node-38,4
6538c502-ef79-4b1b-a6f4-3679456c34d4,node-93_4,node-61,4
a0972ef7-e9c6-4055-84bb-8b84d67899b7,node-48_1,node-67,3
edb74d72-f37a-4b92-8aa7-71851b36b49f,node-65_6,node-32,3
a9894438-5420-4b1e-9d4c-d08d50ca4d17,node-87_6,node-75,4
6ad07dfd-4fa8-4558-862f-178407c2227f,node-88_1,node-13,4
97046125-48f1-45f5-b5c6-cfb91fc571d5,node-59_1,node-59,3
d345294f-6240-42c9-85a7-8369a923c177,node-62_1,node-56,4
0f5f4f45-1c75-4e6b-ae71-ef058ce60d0d,node-74_4,node-54,3
964cedab-ae60-4394-8a70-3e9de8be65e3,node-80_1,node-42,1
7274ee4b-87b3-43f1-a510-f240a8ba696d,node-98_6,node-51,3
b92c74ba-31de-4bf2-b39b-dab5c6452a33,node-70_2,node-43,4
fce347a9-f7eb-4707-aa16-c2d228e12d7a,node-96_2,node-57,1
68979f29-d949-495a-8c42-32a4b4d75109,node-48_6,node-58,1
d75b0559-06df-418f-b44f-0fe70d884a57,node-69_6,node-39,4
84731299-df0f-4aa7-af69-6c194c182d28,node-73_2,node-31,1
fc3bab35-855f-4294-9fde-6a22b6ec24ff,node-98_5,node-62,1
db402d85-fa36-4830-82b1-3f0a118615a7,node-185_1,node-25,3
6948c963-53c3-4fde-9603-4743aae8b21d,node-50_2,node-36,7
ddaf3458-a5ea-4caa-bbc7-c8ccbeae508d,node-47_3,node-58,4
8c8602ea-c708-425f-ba3a-abbe635ceea7,node-80_3,node-61,3
a1ca0f7a-9e29-4387-b6ac-67b07e547eb8,node-50_1,node-56,5
7be8f6f4-0b21-45fd-ac0d-5a8b3430c6a9,node-50_2,node-18,2
5eda10d7-1b2c-432e-8fc5-b44a182f6457,node-99_2,node-66,1
32e8c6c3-3b03-465e-a8d3-7643b02eee85,node-184_5,node-44,4
e1f2375a-0e8c-432d-bad1-4c03fa7ae1dc,node-189_1,node-54,1
bcd557f1-4744-48fa-8581-33d6445b813d,node-69_4,node-53,1
c40c9dc2-83cd-4352-b46d-01ce9d57fd31,node-100_2,node-53,1
588d60f4-631f-4474-ba4d-37bfc00a6039,node-186_5,node-39,1
21311ff6-15d0-4652-bad1-afad994b371b,node-47_6,node-56,1
ad1c75ee-8ba9-4137-819d-4ecb4f19ebd9,node-70_1,node-36,1
8a29316b-368e-4c5e-9b04-781e4c75f6b8,node-65_6,node-54,2
d24c3a64-fa95-4088-850e-80d6c229e5d4,node-88_6,node-45,1
f7c792d1-6198-4925-ade5-67b6995411a7,node-74_2,node-42,1
348cab44-e517-4e89-b080-6b3900864b95,node-72_5,node-57,2
6b8d8659-b513-4804-8e46-ceef386607cc,node-185_3,node-53,1
f335eccf-0d81-4ff5-84db-f628a47e4123,node-184_5,node-21,1
7b731d89-9812-4f32-8180-81747ee12028,node-74_6,node-21,1
24ca42cd-56d6-4ac4-8336-e66945cc2235,node-75_5,node-91,1
eff0daa8-7e18-4cab-8dc6-b04431441ddb,node-80_1,node-54,1
cc70e8fd-0214-4d62-8217-b2b2e19e06fc,node-72_1,node-58,1
3a5eb930-7de8-4adc-bda9-963f4bab4ea7,node-61_2,node-18,1
bc89b350-f75e-4b4a-ac0c-21e4cbf8d79c,node-185_5,node-32,1
bd017083-0f93-4e7f-9b65-e5bfaecaa0cc,node-72_2,node-54,1
86992e1b-dcf3-4823-8d46-50e7eb97abac,node-48_6,node-56,1
ced59d3e-7d78-451f-9337-cde58e178dc1,node-97_2,node-25,1
027a0bd7-1e8d-45c8-946d-011dcd343c3c,node-100_6,node-55,1
3a78d0ee-c150-49fa-a442-e3be7132eb32,node-79_3,node-24,1
063dbde9-807b-4321-86df-85175be66aa7,node-70_2,node-53,2
5e076a52-5ba5-4e1d-a50e-dc26b22979a0,node-88_3,node-84,1
55ae6620-b0f3-4f50-8f24-ab2fbae5cc18,node-186_5,node-56,1
b67eb623-fb5d-40e7-8a2e-6d5f4fac9360,node-187_3,node-56,1
494622b3-b702-4f03-8f06-d3350e0c3f46,node-59_6,node-93,2
9accabe3-8d94-4c8a-8e47-da4e12313738,node-69_4,node-66,2
33b9b1c2-6eb4-413b-bb02-dd9e37122273,node-189_5,node-58,1
f9940635-d45b-41e8-8791-d0478aa92bd1,node-186_3,node-56,2
10b63ebb-2ce9-491f-a6d9-ab6327b1aaa2,node-187_3,node-43,7
31beb134-a87c-499e-b8aa-ab8ebef67701,node-76_6,node-56,1
e4560eb3-7fe6-44a9-98da-d7a0d1d66f7d,node-94_5,node-57,2
24ff1c81-4011-42d3-b898-1a1951353429,node-97_3,node-21,2
a259699b-33c3-4bc8-94f5-1e312089d55d,node-73_6,node-43,7
31045aeb-ca31-431e-a536-9c5738788eb0,node-95_5,node-58,2
ccec8823-3c65-450a-b1fb-56cb229455e4,node-80_1,node-28,2
acd0fad3-e0fc-41b8-b9a8-884633bf7d14,node-62_1,node-49,3
66ab9255-84f5-46c6-a708-1d4aa314a902,node-59_5,node-64,3
c1cb1180-1454-4f53-8cd6-a03bb1c17a62,node-95_2,node-56,1
de57f0be-a0ad-4df7-af82-d1fc3154013f,node-95_2,node-27,2
6b29c894-5f3b-4736-8e01-82d2f3b75d79,node-189_6,node-33,2
5087dce4-f93e-4738-98db-e0cef2ac7d03,node-76_1,node-35,1
7f1cb081-0cd2-4ebd-9a39-a3a462338c8e,node-187_1,node-33,3
456b7bcf-8cd4-4e2d-a723-a6c893afd6d3,node-189_2,node-34,1
01f5d093-519c-4546-af6c-827055025169,node-185_3,node-33,1
bb3fbb92-5fad-4fa5-9b5f-7ed71da03949,node-70_5,node-47,2
2f8f1a03-e7b2-45d1-8f08-1553b45add4b,node-95_5,node-55,2
42af695e-bded-40f0-86cc-180ae020e28d,node-77_2,node-18,2
e1a3461c-ebc5-41b9-b20d-73126cbe9007,node-93_2,node-80,2
caea85a0-3c80-4ae0-a78e-6cb35186964c,node-62_5,node-24,2
618579df-5a1b-4dfe-95d7-a918b62ca81c,node-95_4,node-55,2
908e8cfd-1ae2-4b94-97cc-df502fab56b3,node-70_6,node-30,1
1548c553-47b5-4715-922c-8b1bdf57d45e,node-69_4,node-54,1
708bbed0-b311-400b-a35b-67e88191d293,node-73_1,node-19,1
be30c124-e1a2-4b1c-a370-c5699a102742,node-97_5,node-55,1
c2e96303-2d27-4d93-be8f-6e4270bad520,node-189_2,node-24,1
8ecfc4e8-c8f0-4383-a935-59bcd5b057ce,node-100_6,node-54,1
f2ac8813-704d-4f97-adc1-c84c6e6cce4c,node-80_3,node-64,2
7aa54ebd-8cdd-4fc5-8728-5929820259d3,node-71_3,node-56,3
e588bf37-e3dc-4d82-aa16-d0aa18b638bc,node-186_4,node-24,3
e86dd9ab-655b-4d2a-ad3d-3bcc0e13f6f0,node-100_1,node-99,4
4f030248-89f1-4e3c-b3ab-487b77b892a5,node-48_4,node-21,2
11e3ddb1-ab5e-4bf6-9fdb-5d04b21c8d2e,node-76_3,node-33,2
10febbbc-d62d-44e4-b5c1-e31bde5dd2c8,node-185_1,node-55,1
cd5f211f-835c-4cbc-bbcd-9bdea58770ea,node-89,node-93,2
e339efe0-594c-4dee-8e38-0d8cad682c4c,node-98_6,node-24,1
33f4826d-8fa4-48c0-8458-53adf35d6158,node-189_4,node-58,1
e4da05ba-2fb0-49fc-8278-2fba4b5cf03f,node-48_1,node-44,2
5efcd4ce-ddb4-41ac-bcc6-a50ec6fa5f92,node-69_6,node-53,1
188919be-909f-42fc-87fc-63bc957f59d3,node-73_6,node-51,2
c2464070-b0cd-46ba-ade9-e033f1682aa4,node-48_2,node-24,2
503930c5-8849-4d00-aa82-6a0c3bef4af0,node-189_3,node-18,2
af52c4a4-0950-42d4-bfd2-125db69cdb26,node-72_5,node-31,4
0b199c03-ec64-4466-902f-4c23536bb61d,node-185_2,node-49,2
21617077-fc26-4f1d-b4a9-04e98429e98a,node-186_3,node-34,3
5f6371fd-6bf9-411e-8e78-54c1cdeb472f,node-98_6,node-24,4
4ca975f4-1a01-4a69-9893-5e66175c185d,node-76_2,node-43,3
1fcfe2d3-79c9-4525-bfaa-d01943ac501b,node-77_5,node-34,1
a684b997-a432-403c-861a-5046941a3316,node-59_5,node-38,3
e54d23dd-cc1a-4882-8aad-c497f4131c7c,node-77_3,node-61,1
4bd97215-f895-4e59-ab7a-44ca6f74b944,node-187_6,node-54,4
dd774817-e496-4590-8fee-e0580475fee1,node-90_2,node-57,1
ccb9ede1-7c89-40be-8cba-7607c7bc6f76,node-185_3,node-58,1
feb00e07-5283-45ad-9b95-d63bf4d52d3a,node-95_4,node-39,1
53bc771b-1d09-4758-9d70-88a7a106bde3,node-188_5,node-38,1
dead59c1-6bdd-4abf-af75-b70201a8d1be,node-187_6,node-56,4
b421ae8f-ddd8-4742-8926-b03f30c914af,node-88_4,node-55,3
d9f55bce-f70d-4886-a0e8-af0a9de8509e,node-186_3,node-54,1
d34ad005-fce4-48b7-96dd-8b4e51b55333,node-97_5,node-86,2
3c065f81-f559-4866-b2f0-4eeb60bcf5c6,node-99_6,node-45,4
9b98e772-97c9-4506-ba8c-dcb95ba46063,node-189_5,node-25,1
b18f745e-186c-4ce8-81ba-76047f61a40b,node-185_1,node-22,2
e4f6914e-e7fc-4ccf-853b-e74c4fb86f2c,node-94_6,node-58,1
9cdd9d7a-2605-4acf-8b79-a3b7594c67c0,node-189_6,node-58,2
7a6bb486-8cff-4d03-b793-ac22419330b1,node-189_1,node-36,3
4d06fbad-afb5-4e4e-ae89-aff3e08905d4,node-95_4,node-32,4
